Genotype,Mean Yield (kg/ha),ASV (Stability),Yield Rank,Stability Rank,Overall Rank
G39,1656.38,105.88,3.0,1.0,2.0
G63,1657.5,204.32,2.0,2.0,2.0
G49,1691.52,293.8,1.0,4.0,2.5
G1,1322.93,366.52,5.0,6.0,5.5
G21,1440.63,440.96,4.0,7.0,5.5
G17,934.04,241.87,10.0,3.0,6.5
G43,1159.61,333.33,9.0,5.0,7.0
G73,1207.39,449.94,7.0,8.0,7.5
G41,1322.87,517.21,6.0,10.0,8.0
G71,1201.52,488.97,8.0,9.0,8.5
