Model,Train R²,Test R²,Train RMSE,Test RMSE,Train MAE,Test MAE,Overfitting Gap,RMSE/MAE Ratio
Gradient Boosting,0.9324,0.7196,95.2365,208.0135,78.3829,169.2761,0.2128,1.2288
Random Forest,0.9441,0.7115,86.6066,210.9955,68.7831,171.6638,0.2326,1.2291
ElasticNet,0.7175,0.6545,194.6972,230.8899,155.6894,199.213,0.063,1.159
Ridge,0.7154,0.6526,195.4353,231.5272,156.3812,200.1177,0.0627,1.157
Lasso,0.7469,0.6416,184.3094,235.1819,145.6395,199.8478,0.1053,1.1768
SVR,0.6659,0.616,211.734,243.4284,151.3817,208.3504,0.0499,1.1684
