Feature,SHAP Importance
PH_DM_Interaction,129.2428419688635
TSW,68.01059490573662
L_L4,31.2982278535655
PH,27.749547454516748
Gen_G17,25.36314193429361
DM,21.778403466124015
Gen_G43,20.823350821219545
Gen_G49,19.2462035291189
BP,18.072722181096896
PP,16.63855493621224
