Model,Test R²,Test RMSE
Gradient Boosting,0.7196113880147579,208.01351639399263
Random Forest,0.711514849693555,210.99545566068693
ElasticNet,0.6545485855975596,230.88985865779864
Ridge,0.6526389190115991,231.5271624139505
Lasso,0.6415858645460841,235.1819218525268
SVR,0.6160102079562777,243.42838057824886
